Fullname,Chairmanship,Position,"Term Start","Term End",Status,photo
"Tessa Sanchez",Kagawad,"Commnittee on Appropriation",2024-06-26,2023-01-30,Inactive,67df837d491bc.jpg
"Gilbert Magtaas",Kagawad,"Commnittee on Education",2025-03-18,2025-03-05,Inactive,67df831c219fa.jpg
"Mj Asilo",Kagawad,"Commnittee on Peace & Order",2025-03-23,2025-03-23,Active,67df83009722e.jpg
"Ressa Martinez",Kagawad,"Commnittee on Rules",2025-03-23,2025-03-17,Active,67df82e58e2ee.jpg
"Alvin Andaya",Kagawad,"Commnittee on Appropriation",2025-03-23,2025-03-23,Active,67df82c2f0ca7.jpg
"Baby Andaya",Kagawad,"Commnittee on Education",2025-03-23,2025-03-23,Active,67df829e5ad16.jpg
"Oscar Alvarez",Kagawad,"Commnittee on Solid Waste",2025-03-23,2025-03-23,Active,67df826ab91ee.jpg
"PB. Rolando C. Ambal",Chairman,Chairman,2025-03-23,2025-03-23,Active,67df822943786.jpg
"Tessa Sanchez",Kagawad,"Commnittee on Appropriation",2025-03-23,2025-03-23,Active,67df837d491bc.jpg
"Gilbert Magtaas",Kagawad,"Commnittee on Education",2025-03-18,2025-03-05,Active,67df831c219fa.jpg
"Mj Asilo",Kagawad,"Commnittee on Peace & Order",2025-03-23,2025-03-23,Active,67df83009722e.jpg
"Ressa Martinez",Kagawad,"Commnittee on Rules",2025-03-23,2025-03-17,Active,67df82e58e2ee.jpg
"Alvin Andaya",Kagawad,"Commnittee on Appropriation",2025-03-23,2025-03-23,Active,67df82c2f0ca7.jpg
"Baby Andaya",Kagawad,"Commnittee on Education",2025-03-23,2025-03-23,Active,67df829e5ad16.jpg
"Oscar Alvarez",Kagawad,"Commnittee on Solid Waste",2025-04-18,0000-00-00,Active,67df826ab91ee.jpg
